,group,subgroup,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
C50.pi48,CAT,C50,0.142946363,0.030419172,0.019114537,0.03518678,0.003149308,0.034124834,0.050849253,0.030591429,0.013427664,0.007022725,0.019725701,0.042144244,0.00389048,0.004069747,0.405220209,0.087440601,0.044530492,0.001284253,0.003948553,0.020913659
C50.pi49,CAT,C50,0.058011686,0.090321367,0.036924528,0.061360399,0.002282995,0.207385138,0.222585324,0.015947691,0.031181602,0.006854375,0.021709251,0.150478185,0.008484101,0.002058113,0.004620611,0.027675445,0.032147721,0.001165109,0.005188964,0.013617396
C50.pi50,CAT,C50,0.215354094,0.035917301,0.021992794,0.073512847,0.003701729,0.056640857,0.135037582,0.066298642,0.015712178,0.013845619,0.026692221,0.047433834,0.00880426,0.003503531,0.073958308,0.09219892,0.057568724,0.00193069,0.004452083,0.045443787
C60.pi1,CAT,C60,0.153436325,0.044438907,0.079672699,0.054675729,0.00473066,0.051433303,0.052932436,0.110377575,0.017448022,0.005034389,0.013029416,0.060392871,0.007555059,0.003555432,0.02495237,0.202962597,0.095766847,0.001444448,0.005980031,0.010180886
C60.pi2,CAT,C60,0.028198469,0.303105549,0.031295461,0.009154935,0.001950346,0.093988439,0.038853014,0.008402833,0.015538472,0.010787288,0.021778659,0.347604293,0.010990492,0.001591929,0.00715399,0.019747905,0.032835233,0.000920999,0.002571402,0.013530292
C60.pi3,CAT,C60,0.008368074,0.000731977,0.000612345,0.000222837,0.002043387,0.000949869,0.000473154,0.000482575,0.000519,0.37684531,0.260833461,0.000629617,0.031570059,0.012398436,0.000959592,0.000974638,0.004999076,0.000865776,0.001713233,0.293807587
C60.pi4,CAT,C60,0.222722935,0.006484607,0.00612065,0.000799759,0.164028591,0.005105189,0.002728081,0.020270252,0.003718388,0.045540607,0.088335007,0.002283287,0.034809456,0.022866705,0.003547158,0.085004007,0.101284829,0.004842483,0.009650003,0.169858007
C60.pi5,CAT,C60,0.041213952,0.006762706,0.005106769,0.001743439,0.020471565,0.005753848,0.003726341,0.006910749,0.018029395,0.115428162,0.169356246,0.004290027,0.041406657,0.223900186,0.005841641,0.014910613,0.023954841,0.033223713,0.137934947,0.120034205
C60.pi6,CAT,C60,0.048055025,0.030843805,0.094062872,0.208460613,0.003780179,0.07476767,0.185518466,0.019140224,0.087216235,0.009468544,0.027734083,0.037574124,0.008830836,0.019600096,0.008126778,0.043968076,0.032458888,0.003466572,0.038749996,0.018176918
C60.pi7,CAT,C60,0.006284875,0.002624692,0.003034251,0.000532415,0.007302763,0.003440909,0.000974149,0.001957816,0.010222519,0.018059231,0.117906468,0.001620592,0.023472183,0.397455252,0.002016558,0.005690333,0.003709182,0.05986391,0.31855653,0.015275374
