G000005825	.05
G000006685	.16
G000006945	.02
G000006985	.02
G000007125	.02
G000007145	.02
G000007205	.16
G000007325	.08
G000007365	.19
G000007485	.13
G000007605	.16
G000007665	.07
G000007705	.02
G000007725	.20
G000007825	.11
G000007905	.08
G000007925	.09
G000007985	.03
G000008025	.12
G000008045	.05
G000008185	.11
G000008205	.34
G000008305	.18
G000008365	.28
G000008385	.12
G000008465	.01
G000008485	.04
G000008545	.09
G000008565	.07
G000008625	.14
G000008685	.15
G000008765	.06
G000008885	.21
G000008985	.03
G000009045	.03
G000009265	.07
G000009365	.01
G000009605	.18
G000009625	.03
G000009705	.15
G000009765	.09
G000009845	.32
G000009905	.03
G000009945	.16
G000009985	.07
G000010065	.11
G000010085	.01
G000010125	.02
G000010165	.09
G000010185	.05
G000010285	.04
G000010305	.07
G000010325	.05
G000010345	.08
G000010405	.10
G000010425	.07
G000010505	.04
G000010525	.02
G000010565	.07
G000010625	.09
G000010645	.07
G000010665	.09
G000010725	.07
G000010785	.14
G000010805	.06
G000010985	.07
G000011065	.03
G000011225	.23
G000011245	.05
G000011305	.03
G000011325	.03
G000011345	.11
G000011365	.06
G000011385	.11
G000011445	.22
G000011465	.10
G000011485	.09
G000011565	.10
G000011645	.02
G000011705	.05
G000011745	.19
G000011905	.13
G000011965	.02
G000012085	.11
G000012125	.17
G000012145	.05
G000012225	.31
G000012305	.01
G000012325	.03
G000012345	.14
G000012365	.03
G000012385	.08
G000012425	.03
G000012465	.09
G000012485	.04
G000012505	.10
G000012565	.11
G000012585	.02
G000012605	.01
G000012625	.09
G000012645	.10
G000012725	.02
G000012745	.02
G000012765	.21
G000012805	.01
G000012825	.04
G000012845	.04
G000012865	.05
G000012885	.04
G000012905	.04
G000012925	.04
G000012945	.03
G000012965	.08
G000012985	.02
G000013005	.03
G000013025	.02
G000013045	.05
G000013085	.04
G000013145	.12
G000013165	.19
G000013185	.16
G000013205	.10
G000013225	.09
G000013285	.07
G000013325	.04
G000013345	.11
G000013365	.03
G000013385	.08
G000013405	.07
G000013565	.03
G000013605	.05
G000013625	.02
G000013645	.03
G000013665	.01
G000013705	.02
G000013745	.03
G000013765	.02
G000013865	.02
G000013885	.02
G000013905	.01
G000013985	.05
G000014005	.05
G000014045	.02
G000014065	.02
G000014125	.04
G000014145	.03
G000014185	.08
G000014225	.01
G000014265	.14
G000014285	.02
G000014345	.07
G000014425	.04
G000014445	.05
G000014565	.05
G000014585	.10
G000014665	.02
G000014725	.09
G000014745	.02
G000014785	.02
G000014805	.01
G000014825	.02
G000014865	.03
G000014885	.01
G000014905	.06
G000014925	.06
G000014965	.10
G000015025	.06
G000015045	.09
G000015105	.08
G000015125	.03
G000015165	.08
G000015245	.01
G000015265	.04
G000015285	.02
G000015445	.02
G000015505	.03
G000015565	.02
G000015585	.03
G000015645	.10
G000015665	.10
G000015725	.03
G000015865	.06
G000015965	.10
G000016065	.02
G000016085	.02
G000016165	.04
G000016325	.01
G000016345	.02
G000016425	.06
G000016505	.04
G000016545	.04
G000016565	.02
G000016645	.02
G000016665	.07
G000016745	.04
G000016765	.02
G000016785	.08
G000016825	.05
G000016905	.08
G000016985	.07
G000017205	.02
G000017245	.01
G000017265	.04
G000017285	.03
G000017305	.05
G000017405	.02
G000017425	.08
G000017505	.08
G000017545	.07
G000017565	.02
G000017585	.08
G000017645	.02
G000017685	.06
G000017805	.07
G000017845	.15
G000018025	.01
G000018065	.10
G000018105	.14
G000018145	.02
G000018205	.06
G000018285	.03
G000018325	.07
G000018405	.07
G000018425	.07
G000018545	.05
G000018565	.08
G000018585	.10
G000018605	.07
G000018685	.15
G000018785	.10
G000018865	.09
G000018885	.04
G000018945	.08
G000019085	.06
G000019145	.02
G000019165	.03
G000019185	.03
G000019225	.01
G000019345	.27
G000019365	.06
G000019445	.01
G000019525	.02
G000019665	.15
G000019705	.14
